Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,Longformer_20230822-2049,20230823-0347,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.758275032,0.667743325,0.730123818,0.068410464,0.57432431,0.036371417,0.7611624,0.036371417,0.991298318,85,7177,2252,63,"Longformer	0.758	0.668	0.73	0.068	0.036	0.574 \\",
,Longformer_20230823-0347,20230823-0930,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.837005317,0.607965827,0.709367037,0.065828845,0.371621609,0.036112934,0.844310105,0.036112934,0.988452971,55,7961,1468,93,"Longformer	0.837	0.608	0.709	0.066	0.036	0.372 \\",
,Longformer_20230823-0930,20230823-1544,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.851623654,0.661944628,0.75062418,0.088518277,0.466216207,0.048901487,0.857673109,0.048901487,0.990325749,69,8087,1342,79,"Longformer	0.852	0.662	0.751	0.089	0.049	0.466 \\",
,Longformer_20230823-1544,20230823-2127,token_len,SCAR_NLP,Longformer_2048,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,2048,FALSE,100,0.0001,10,undersampling,0.809961379,0.644111872,0.714342356,0.071428567,0.472972959,0.038631346,0.815250814,0.038631346,0.989954948,70,7687,1742,78,"Longformer	0.81	0.644	0.714	0.071	0.039	0.473 \\",
,Longformer_20230823-2127,20230824-1315,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.836274385,0.614245355,0.690974236,0.067776456,0.385135144,0.037157759,0.843355596,0.037157759,0.988685787,57,7952,1477,91,"Longformer	0.836	0.614	0.691	0.068	0.037	0.385 \\",
,Longformer_20230824-1315,20230824-2334,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.663568974,0.692804754,0.758052707,0.062281724,0.722972989,0.032542579,0.662636518,0.032542579,0.993480682,107,6248,3181,41,"Longformer	0.664	0.693	0.758	0.062	0.033	0.723 \\",
,Longformer_20230824-2334,20230825-0951,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.848804414,0.660512924,0.74396342,0.087011352,0.466216207,0.047983311,0.854809642,0.047983311,0.990293622,69,8060,1369,79,"Longformer	0.849	0.661	0.744	0.087	0.048	0.466 \\",
,Longformer_20230825-0951,20230825-2338,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.761825204,0.656244874,0.710882664,0.066311911,0.547297299,0.035294119,0.765192509,0.035294119,0.990799248,81,7215,2214,67,"Longformer	0.762	0.656	0.711	0.066	0.035	0.547 \\",
,Longformer_20230825-2339,20230826-1231,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.938811719,0.589835703,0.741997063,0.103975542,0.229729727,0.06719368,0.949941695,0.06719368,0.98743248,34,8957,472,114,"Longformer	0.939	0.59	0.742	0.104	0.067	0.23 \\",
,Longformer_20230826-1231,20230827-0150,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.355956972,0.606416941,0.713070035,0.039850559,0.864864886,0.020395156,0.347969025,0.020395156,0.993941247,128,3281,6148,20,"Longformer	0.356	0.606	0.713	0.04	0.02	0.865 \\",
,Longformer_20230827-0150,20230827-1513,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.686540663,0.671217382,0.757354736,0.060700867,0.655405402,0.031824145,0.687029362,0.031824145,0.992188692,97,6478,2951,51,"Longformer	0.687	0.671	0.757	0.061	0.032	0.655 \\",
,Longformer_20230827-1513,20230828-0234,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.757752955,0.684104919,0.751366556,0.072000004,0.608108103,0.038265307,0.760101795,0.038265307,0.991972327,90,7167,2262,58,"Longformer	0.758	0.684	0.751	0.072	0.038	0.608 \\",
,Longformer_20230828-0234,20230828-1850,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.624830306,0.653179288,0.716148853,0.053227928,0.682432413,0.027693994,0.623926163,0.027693994,0.992074192,101,5883,3546,47,"Longformer	0.625	0.653	0.716	0.053	0.028	0.682 \\",
,Longformer_20230828-1851,20230829-0810,token_len,SCAR_NLP,Longformer_4096,dspln_PSYCHIATRY_12,ppv4,,allenai-longformer-base-4096,,,,,,,,0,,,,,,4096,FALSE,100,0.0001,10,undersampling,0.772580147,0.671682835,0.750780344,0.071611255,0.567567587,0.038216561,0.775798082,0.038216561,0.991326749,84,7315,2114,64,"Longformer	0.773	0.672	0.751	0.072	0.038	0.568 \\",
,CNN_20230831-0924,20230831-0931,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.932024658,0.6661973,0.799888492,0.151238605,0.391891897,0.093699515,0.940502703,0.093699515,0.989953115,58,8868,561,90,"CNN	0.932	0.666	0.8	0.151	0.094	0.392 \\",
,CNN_20230831-0931,20230831-0936,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.921687365,0.667598248,0.789530873,0.137931034,0.405405402,0.083102494,0.929791093,0.083102493,0.990062112,60,8767,662,88,"CNN	0.922	0.668	0.79	0.138	0.083	0.405 \\",
,CNN_20230831-0936,20230831-0946,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.889422596,0.727695704,0.819532454,0.135510191,0.560810804,0.077065922,0.894580543,0.077065924,0.992352941,83,8435,994,65,"CNN	0.889	0.728	0.82	0.136	0.077	0.561 \\",
,CNN_20230831-0946,20230831-0953,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.913438439,0.690011859,0.805879951,0.140932634,0.459459454,0.083231337,0.920564234,0.083231334,0.99086758,68,8680,749,80,"CNN	0.913	0.69	0.806	0.141	0.083	0.459 \\",
,CNN_20230831-0953,20230831-1000,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.902892351,0.711258829,0.804951906,0.140480593,0.513513505,0.081370451,0.909004152,0.08137045,0.991669559,76,8571,858,72,"CNN	0.903	0.711	0.805	0.14	0.081	0.514 \\",
,CNN_20230831-1002,20230831-1013,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.901221693,0.717061043,0.811935902,0.141560808,0.527027011,0.08176101,0.907095134,0.081761006,0.991882176,78,8553,876,70,"CNN	0.901	0.717	0.812	0.142	0.082	0.527 \\",
,CNN_20230831-1013,20230831-1018,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.926490545,0.699965656,0.800342143,0.163895488,0.466216207,0.099423632,0.933715105,0.099423631,0.991106608,69,8804,625,79,"CNN	0.926	0.7	0.8	0.164	0.099	0.466 \\",
,CNN_20230831-1019,20230831-1027,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.91584003,0.691231489,0.807813287,0.14437367,0.459459454,0.085642315,0.923003495,0.085642317,0.990891495,68,8703,726,80,"CNN	0.916	0.691	0.808	0.144	0.086	0.459 \\",
,CNN_20230901-1035,20230901-1045,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.908635259,0.714175344,0.811361194,0.148003891,0.513513505,0.086461887,0.914837182,0.086461889,0.991722235,76,8626,803,72,"CNN	0.909	0.714	0.811	0.148	0.086	0.514 \\",
,CNN_20230901-1115,20230901-1122,token_len,SCAR_NLP,CNN_us,dspln_PSYCHIATRY_12,ppv4,rand,GoogleNews-vectors-negative300.txt,300,300,0.85,,,,500,0.0001,,,,,,,FALSE,100,0.0001,10,undersampling,0.91302079,0.696450412,0.803804696,0.143884897,0.472972959,0.084848486,0.919927895,0.084848485,0.991087751,70,8674,755,78,"CNN	0.913	0.696	0.804	0.144	0.085	0.473 \\",
,BERT_20230831-1029,20230831-1121,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.790017724,0.627332866,0.700555801,0.063344195,0.459459454,0.034017008,0.795206249,0.034017008,0.989443123,68,7498,1931,80,"BERT	0.79	0.627	0.701	0.063	0.034	0.459 \\",
,BERT_20230831-1121,20230831-1212,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.81674844,0.62760663,0.690531373,0.067976631,0.432432443,0.036887608,0.822780788,0.036887608,0.989288449,64,7758,1671,84,"BERT	0.817	0.628	0.691	0.068	0.037	0.432 \\",
,BERT_20230831-1212,20230831-1342,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.875326276,0.600824296,0.652532578,0.072981365,0.317567557,0.041228071,0.884081006,0.041228071,0.988028944,47,8336,1093,101,"BERT	0.875	0.601	0.653	0.073	0.041	0.318 \\",
,BERT_20230831-1343,20230831-1533,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.800146163,0.585921645,0.650597036,0.053412467,0.364864856,0.028815368,0.806978464,0.028815368,0.987796962,54,7609,1820,94,"BERT	0.8	0.586	0.651	0.053	0.029	0.365 \\",
,BERT_20230831-1533,20230831-1650,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.726845562,0.635155201,0.675577521,0.057636887,0.540540516,0.0304414,0.729769886,0.0304414,0.990214407,80,6881,2548,68,"BERT	0.727	0.635	0.676	0.058	0.03	0.541 \\",
,BERT_20230831-1650,20230831-1759,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.812571764,0.622160137,0.682483315,0.065590836,0.42567569,0.035532996,0.818644583,0.035532996,0.989108145,63,7719,1710,85,"BERT	0.813	0.622	0.682	0.066	0.036	0.426 \\",
,BERT_20230831-1759,20230831-1947,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.787511766,0.619409502,0.6958915,0.060913701,0.445945948,0.032689448,0.792873025,0.032689448,0.989150584,66,7476,1953,82,"BERT	0.788	0.619	0.696	0.061	0.033	0.446 \\",
,BERT_20230831-1947,20230831-2124,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.862483025,0.587651193,0.662840784,0.063965887,0.304054052,0.035742652,0.871248305,0.035742652,0.987617195,45,8215,1214,103,"BERT	0.862	0.588	0.663	0.064	0.036	0.304 \\",
,BERT_20230831-2125,20230831-2218,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.782499731,0.606888115,0.639131606,0.057039384,0.42567569,0.030567685,0.788100541,0.030567685,0.988690794,63,7431,1998,85,"BERT	0.782	0.607	0.639	0.057	0.031	0.426 \\",
,BERT_20230831-2218,20230831-2318,token_len,SCAR_NLP,BERT_512_us,dspln_PSYCHIATRY_12,ppv4,,bert-base-uncased,,,,,,,,0,,,,,,512,FALSE,100,0.0001,10,undersampling,0.711183071,0.643827796,0.683472514,0.057901904,0.57432431,0.030487806,0.713331223,0.030487806,0.990720272,85,6726,2703,63,"BERT	0.711	0.644	0.683	0.058	0.03	0.574 \\",
