Topic,Count,Name,Representation,KeyBERT,OpenAI,Representative_Docs,Words
10,569,10_brain_brain metastases_mri scans_indicated,"['brain', 'brain metastases', 'mri scans', 'indicated', 'cancer regular', 'lesions', 'scans', 'mri', 'stable', 'regular']","['brain metastases', 'metastases', 'regular mri', 'mri', 'mri scans', 'metastatic', 'lesions', 'cancer regular', 'cancer', 'prostate cancer']",['Stable brain metastases on MRI'],"['Regular MRI scans indicated stable disease in the brain metastases', 'Regular MRI scans indicated stable disease in the brain metastases', 'Regular MRI scans indicated stable disease in the brain metastases']","['brain', 'brain metastases', 'mri scans', 'indicated', 'cancer regular', 'lesions', 'scans', 'mri', 'stable', 'regular']"
11,384,11_lymphoma patients_results_raising concerns_raising,"['lymphoma patients', 'results', 'raising concerns', 'raising', 'possible', 'patients family', 'pathology results', 'pathology', 'family', 'indicated']","['lymphoma', 'lymphoma patients', 'carcinoma', 'tumor', 'pathology results', 'pathology', 'cell', 'revealed', 'evidence', 'genetic']",['Squamous Cell Carcinoma'],"['Pathology results revealed squamous cell carcinoma with evidence of lymphovascular invasion', 'Pathology results revealed squamous cell carcinoma with evidence of lymphovascular invasion', 'Pathology results revealed squamous cell carcinoma with evidence of lymphovascular invasion']","['lymphoma patients', 'results', 'raising concerns', 'raising', 'possible', 'patients family', 'pathology results', 'pathology', 'family', 'indicated']"
12,384,12_marrow_bone marrow_hypercellularity_bone,"['marrow', 'bone marrow', 'hypercellularity', 'bone', 'showed', 'decrease', 'metabolic activity', 'myeloid', 'myeloid leukemia', 'examination']","['hypercellularity', 'bone marrow', 'marrow', 'myeloid leukemia', 'myeloid', 'acute myeloid', 'leukemia', 'bone', 'lymph nodes', 'metabolic']",['Hypercellular Myeloid Leukemia'],"['A bone marrow aspirate showed hypercellularity with 20% blasts', 'A bone marrow aspirate showed hypercellularity with 20% blasts', 'A bone marrow aspirate showed hypercellularity with 20% blasts']","['marrow', 'bone marrow', 'hypercellularity', 'bone', 'showed', 'decrease', 'metabolic activity', 'myeloid', 'myeloid leukemia', 'examination']"
13,384,13_overall___,"['overall', '', '', '', '', '', '', '', '', '']","['overall', '', '', '', '', '', '', '', '', '']",['Overall Analysis'],"['Overall', 'Overall', 'Overall']","['overall', '', '', '', '', '', '', '', '', '']"
14,384,14_grade_reported grade_reported_patient reported,"['grade', 'reported grade', 'reported', 'patient reported', 'patient', 'developed', 'result', 'persistent', 'patient developed', 'developed grade']","['patient presented', 'patient reported', 'patient developed', 'developed grade', 'reported grade', 'grade', 'patient', 'chemotherapy patient', 'result chemotherapy', 'reported']",['Neuropathy grade 2'],"['The patient reported grade 1 neuropathy', 'The patient reported grade 1 neuropathy', 'The patient reported grade 2 neuropathy']","['grade', 'reported grade', 'reported', 'patient reported', 'patient', 'developed', 'result', 'persistent', 'patient developed', 'developed grade']"
15,373,15_mass_studies_right_mass right,"['mass', 'studies', 'right', 'mass right', 'imaging', 'imaging studies', 'cm', 'cm mass', 'lobe', 'upper lobe']","['upper lobe', 'lobe', 'cm mass', 'mass detected', 'mass right', 'imaging studies', 'mass', 'identified cm', 'imaging', 'palpable mass']",['4cm mass in upper lobe'],"['Imaging studies identified a 4 cm mass in the right upper lobe', 'Imaging studies identified a 4 cm mass in the right upper lobe', 'Imaging studies identified a 4 cm mass in the right upper lobe']","['mass', 'studies', 'right', 'mass right', 'imaging', 'imaging studies', 'cm', 'cm mass', 'lobe', 'upper lobe']"
16,288,16_confirmed_carcinoma_biopsy_subtype hodgkin,"['confirmed', 'carcinoma', 'biopsy', 'subtype hodgkin', 'enlarged cervical', 'node revealed', 'nodular', 'revealed nodular', 'sclerosing', 'sclerosing subtype']","['hodgkin lymphoma', 'cervical lymph', 'lymphoma', 'enlarged cervical', 'nodular sclerosing', 'lymph node', 'hodgkin', 'biopsy enlarged', 'biopsy confirmed', 'pathology']",['Nodular Sclerosing Hodgkin Lymphoma'],"['Biopsy of an enlarged cervical lymph node revealed a nodular sclerosing subtype of Hodgkin lymphoma', 'Biopsy of an enlarged cervical lymph node revealed a nodular sclerosing subtype of Hodgkin lymphoma', 'Biopsy of an enlarged cervical lymph node revealed a nodular sclerosing subtype of Hodgkin lymphoma']","['confirmed', 'carcinoma', 'biopsy', 'subtype hodgkin', 'enlarged cervical', 'node revealed', 'nodular', 'revealed nodular', 'sclerosing', 'sclerosing subtype']"
17,288,17____,"['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",['Digestive Symptoms and Night Sweats'],"['night sweats', 'bloating', 'and changes in bowel habits']","['', '', '', '', '', '', '', '', '', '']"
18,192,18_group_treatment plan_support_plan,"['group', 'treatment plan', 'support', 'plan', 'treatment', '', '', '', '', '']","['treatment plan', 'support', 'treatment', 'group', 'plan', '', '', '', '', '']",['Supportive Treatment Plan'],"['and a referral to a counselor or support group was offered', 'and a referral to a counselor or support group was offered', 'and a referral to a counselor or support group was offered']","['group', 'treatment plan', 'support', 'plan', 'treatment', '', '', '', '', '']"
19,192,19_radiation___,"['radiation', '', '', '', '', '', '', '', '', '']","['radiation', '', '', '', '', '', '', '', '', '']",['radiation'],"['radiation', 'radiation', 'radiation']","['radiation', '', '', '', '', '', '', '', '', '']"
